id,name,address,city,post_code,gmina,powiat,wojewodztwo
12747,Szkoła Podstawowa Nr 5, ul. Leśna 23,Tarnowskie Góry,42-600,m. Tarnowskie Góry,tarnogórski,śląskie
12748,Szkoła Podstawowa Nr 5, ul. Lotnictwa 1,Jelenia Góra,58-500,m. Jelenia Góra,Jelenia Góra,dolnośląskie
12749,Szkoła Podstawowa Nr 5, ul. Michałkowicka 15,Siemianowice Śląskie,41-100,m. Siemianowice Śląskie,Siemianowice Śląskie,śląskie
12750,Szkoła Podstawowa Nr 5, ul. Moniuszki 22a,Braniewo,14-500,m. Braniewo,braniewski,warmińsko-mazurskie
12751,Szkoła Podstawowa Nr 5, ul. Młodych 2,Nowa Sól,67-100,m. Nowa Sól,nowosolski,lubuskie
12752,Szkoła Podstawowa Nr 5, ul. Młyńska 11,Bytów,77-100,gm. Bytów,bytowski,pomorskie
12753,Szkoła Podstawowa Nr 5, ul. Nadstawna 62A,Biłgoraj,23-400,m. Biłgoraj,biłgorajski,lubelskie
12754,Szkoła Podstawowa Nr 5, ul. Nowotarska 42,Zakopane,34-500,m. Zakopane,tatrzański,małopolskie
12755,Szkoła Podstawowa Nr 5, ul. Obrońców Westerplatte 18,Tczew,83-110,m. Tczew,tczewski,pomorskie
12756,Szkoła Podstawowa Nr 5, ul. Okrzei 19,Żary,68-200,m. Żary,żarski,lubuskie
12757,Szkoła Podstawowa Nr 5, ul. Powstańców Śląskich 4,Żywiec,34-300,m. Żywiec,żywiecki,śląskie
12758,Szkoła Podstawowa Nr 5, ul. Prymasa Stefana Wyszyńskiego 6A,Zambrów,18-300,m. Zambrów,zambrowski,podlaskie
12759,Szkoła Podstawowa Nr 5, ul. Romualda Traugutta 15,Jarosław,37-500,m. Jarosław,jarosławski,podkarpackie
12760,Szkoła Podstawowa Nr 5, ul. Sienkiewicza 24,Grudziądz,86-300,m. Grudziądz,Grudziądz,kujawsko-pomorskie
12761,Szkoła Podstawowa Nr 5, ul. Stanisława Konarskiego 2,Ozorków,95-035,m. Ozorków,zgierski,łódzkie
12762,Szkoła Podstawowa Nr 5, ul. Stefana Batorego 37,Ząbki,05-091,m. Ząbki,wołomiński,mazowieckie
12763,Szkoła Podstawowa Nr 5, ul. Stefana Kardynała Wyszyńskiego 5,Chełmża,87-140,m. Chełmża,toruński,kujawsko-pomorskie
12764,Szkoła Podstawowa Nr 5, ul. Szkolna 1,Łask,98-100,gm. Łask,łaski,łódzkie
12765,Szkoła Podstawowa Nr 5, ul. Szkolna 10,Bełchatów,97-400,m. Bełchatów,bełchatowski,łódzkie
12766,Szkoła Podstawowa Nr 5, ul. Wojska Polskiego 3,Świecie,86-105,gm. Świecie,świecki,kujawsko-pomorskie
12767,Szkoła Podstawowa Nr 5, ul. Władysława Orkana 17,Nowy Targ,34-400,m. Nowy Targ,nowotarski,małopolskie
12768,Szkoła Podstawowa Nr 5, ul. Zwycięstwa 10,Brzeg Dolny,56-120,gm. Brzeg Dolny,wołowski,dolnośląskie
12769,Szkoła Podstawowa Nr 5, ul. bł. Królowej Jadwigi 29,Szczecin,70-262,m. Szczecin,Szczecin,zachodniopomorskie
12770,Szkoła Podstawowa Nr 50, Gdańsk ul. Grobla IV 8,Gdańsk,80-837,m. Gdańsk,Gdańsk,pomorskie
12771,Szkoła Podstawowa Nr 50, ul. Czeska 38,Wrocław,51-112,m. Wrocław,Wrocław,dolnośląskie
12772,Szkoła Podstawowa Nr 50, ul. Czeska 40,Wrocław,51-112,m. Wrocław,Wrocław,dolnośląskie
12773,Szkoła Podstawowa Nr 50, ul. Katowicka 28,Kraków,31-151,m. Kraków,Kraków,małopolskie
12774,Szkoła Podstawowa Nr 50, ul. Katowicka 28,Kraków,31-351,m. Kraków,Kraków,małopolskie
12775,Szkoła Podstawowa Nr 50, ul. Kazimierza Pułaskiego 96,Białystok,15-338,m. Białystok,Białystok,podlaskie
12776,Szkoła Podstawowa Nr 51 z Oddziałami Integracyjnymi, ul. Łużycka 12a,Bytom,41-902,m. Bytom,Bytom,śląskie
12777,Szkoła Podstawowa Nr 51, ul. Jana Krzysztofa Kluka 11A,Białystok,15-197,m. Białystok,Białystok,podlaskie
12778,Szkoła Podstawowa Nr 51, ul. Jodłowa 21,Szczecin,71-114,m. Szczecin,Szczecin,zachodniopomorskie
12779,Szkoła Podstawowa Nr 51, ul. Stanisława Mikołajczyka 20,Szczecin,71-075,m. Szczecin,Szczecin,zachodniopomorskie
12780,"Szkoła Podstawowa Nr 52 im. Macieja Aleksego Dawidowskiego ""Alka""", ul. Samarytanka 11A,Warszawa,03-592,Targówek,Warszawa,mazowieckie
12781,Szkoła Podstawowa Nr 52, Gdańsk ul. Tadeusza Kościuszki 111,Gdańsk,80-427,m. Gdańsk,Gdańsk,pomorskie
12782,Szkoła Podstawowa Nr 53, ul. Budzysza Wosia 8 - 9,Szczecin,71-273,m. Szczecin,Szczecin,zachodniopomorskie
12783,Szkoła Podstawowa Nr 53, ul. Skośna 8,Kraków,30-383,m. Kraków,Kraków,małopolskie
12784,Szkoła Podstawowa Nr 54, ul. Generała Ludomiła Rayskiego 9,Szczecin,70-426,m. Szczecin,Szczecin,zachodniopomorskie
12785,Szkoła Podstawowa Nr 54, ul. Reptowska 86,Bytom,41-923,m. Bytom,Bytom,śląskie
12786,Szkoła Podstawowa Nr 54, ul. Tyniecka 122,Kraków,30-376,m. Kraków,Kraków,małopolskie
12787,Szkoła Podstawowa Nr 55, ul. Dobczycka 20,Kraków,30-620,m. Kraków,Kraków,małopolskie
12788,Szkoła Podstawowa Nr 55, ul. Orawska 1,Szczecin,70-131,m. Szczecin,Szczecin,zachodniopomorskie
12789,Szkoła Podstawowa Nr 56, Gdańsk ul. Małomiejska 8A,Gdańsk,80-037,m. Gdańsk,Gdańsk,pomorskie
12790,Szkoła Podstawowa Nr 56, ul. Aleksandra Fredry 65,Kraków,30-605,m. Kraków,Kraków,małopolskie
12791,Szkoła Podstawowa Nr 56, ul. Jacka Malczewskiego 22,Szczecin,71-612,m. Szczecin,Szczecin,zachodniopomorskie
12792,Szkoła Podstawowa Nr 58 im. Tadeusza Gajcego, ul. Mieszka I 7,Warszawa,03-886,Targówek,Warszawa,mazowieckie
12793,Szkoła Podstawowa Nr 58, Gdańsk ul. Skarpowa 3,Gdańsk,80-145,m. Gdańsk,Gdańsk,pomorskie
12794,Szkoła Podstawowa Nr 58, ul. Stanisława Pigonia 2,Kraków,31-230,m. Kraków,Kraków,małopolskie
12795,Szkoła Podstawowa Nr 59, Gdańsk ul. Modra 2,Gdańsk,80-736,m. Gdańsk,Gdańsk,pomorskie
12796,Szkoła Podstawowa Nr 59, ul. Dąbska 105,Szczecin,70-789,m. Szczecin,Szczecin,zachodniopomorskie
12797,Szkoła Podstawowa Nr 6 (dawne Gimnazjum Nr 1), ul. Biernackiego 6,Mielec,39-300,m. Mielec,mielecki,podkarpackie
12798,Szkoła Podstawowa Nr 6 (sala gimnastyczna wejście od podwórka) , al. Marszałka Józefa Piłsudskiego 3,Legnica,59-220,m. Legnica,Legnica,dolnośląskie
12799,Szkoła Podstawowa Nr 6 (wejście główne), al. Marszałka Józefa Piłsudskiego 3,Legnica,59-220,m. Legnica,Legnica,dolnośląskie
12800,Szkoła Podstawowa Nr 6 Integracyjna im. Kazimierza Brodzińskiego, ul. Bratków 6,Bielsko-Biała,43-300,m. Bielsko-Biała,Bielsko-Biała,śląskie
12801,Szkoła Podstawowa Nr 6 Integracyjna im. Kazimierza Brodzińskiego, ul. Kazimierza Brodzińskiego 3,Bielsko-Biała,43-300,m. Bielsko-Biała,Bielsko-Biała,śląskie
12802,Szkoła Podstawowa Nr 6 im. Aleksandry Kujałowicz, ul. Sejneńska 12,Suwałki,16-400,m. Suwałki,Suwałki,podlaskie
12803,Szkoła Podstawowa Nr 6 im. Braci Barskich w Śremie, ul. Ignacego Paderewskiego 4,Śrem,63-100,gm. Śrem,śremski,wielkopolskie
12804,Szkoła Podstawowa Nr 6 im. Henryka Sienkiewicza w Mińsku Mazowieckim, ul. gen. Kazimierza Sosnkowskiego 1,Mińsk Mazowiecki,05-300,m. Mińsk Mazowiecki,miński,mazowieckie
12805,Szkoła Podstawowa Nr 6 im. Henryka Sienkiewicza, ul. Lipowa 31,Pruszków,05-800,m. Pruszków,pruszkowski,mazowieckie
12806,Szkoła Podstawowa Nr 6 im. Jana Kochanowskiego z Oddziałami Dwujęzycznymi i Oddziałami Sportowymi, ul. 3 Maja 46A,Zgierz,95-100,m. Zgierz,zgierski,łódzkie
12807,Szkoła Podstawowa Nr 6 im. Janiny Majkowskiej, ul. Uniejowska 199,Sieradz,98-200,m. Sieradz,sieradzki,łódzkie
12808,Szkoła Podstawowa Nr 6 im. K. I. Gałczyńskiego, ul. Gdyńska 17,Olsztyn,10-608,m. Olsztyn,Olsztyn,warmińsko-mazurskie
12809,Szkoła Podstawowa Nr 6 im. Marii Curie-Skłodowskiej, ul. Klonowa 23,Zabrze,41-800,m. Zabrze,Zabrze,śląskie
12810,Szkoła Podstawowa Nr 6 im. Marii Skłodowskiej-Curie w Kutnie, ul. Łąkoszyńska 9,Kutno,99-300,m. Kutno,kutnowski,łódzkie
12811,Szkoła Podstawowa Nr 6 im. Ojca Świętego Jana Pawła II, ul. Generała Mieczysława Boruty-Spiechowicza 1,Przemyśl,37-700,m. Przemyśl,Przemyśl,podkarpackie
12812,Szkoła Podstawowa Nr 6 im. Orła Białego, ul. Bohaterów Września 1939 r. 2,Szczytno,12-100,m. Szczytno,szczycieński,warmińsko-mazurskie
