id,name,address,city,post_code,gmina,powiat,wojewodztwo
12621,Szkoła Podstawowa Nr 4, ul. Sportowa 9,Turek,62-700,m. Turek,turecki,wielkopolskie
12622,Szkoła Podstawowa Nr 4, ul. Stanisława Moniuszki 1,Kętrzyn,11-400,m. Kętrzyn,kętrzyński,warmińsko-mazurskie
12623,Szkoła Podstawowa Nr 4, ul. Stanisława Wyspiańskiego 10,Tarnobrzeg,39-400,m. Tarnobrzeg,Tarnobrzeg,podkarpackie
12624,Szkoła Podstawowa Nr 4, ul. Stefana Żeromskiego 53,Zelów,97-425,gm. Zelów,bełchatowski,łódzkie
12625,Szkoła Podstawowa Nr 4, ul. Strzelców Bytomskich 13,Rydułtowy,44-280,m. Rydułtowy,wodzisławski,śląskie
12626,Szkoła Podstawowa Nr 4, ul. Szarych Szeregów 6,Skierniewice,96-100,m. Skierniewice,Skierniewice,łódzkie
12627,Szkoła Podstawowa Nr 4, ul. Szczecińska 36,Goleniów,72-100,gm. Goleniów,goleniowski,zachodniopomorskie
12628,Szkoła Podstawowa Nr 4, ul. Szkolna 1,Świnoujście,72-600,m. Świnoujście,Świnoujście,zachodniopomorskie
12629,Szkoła Podstawowa Nr 4, ul. Szkolna 31,Otwock,05-400,m. Otwock,otwocki,mazowieckie
12630,Szkoła Podstawowa Nr 4, ul. Walerego Sławka 9,Warszawa,02-495,Ursus,Warszawa,mazowieckie
12631,Szkoła Podstawowa Nr 4, ul. Wielkopolska 30,Stargard,73-110,m. Stargard,stargardzki,zachodniopomorskie
12632,Szkoła Podstawowa Nr 4, ul. Wojska Polskiego 23,Pyskowice,44-120,m. Pyskowice,gliwicki,śląskie
12633,Szkoła Podstawowa Nr 4, ul. Wspólna 42,Marki,05-270,m. Marki,wołomiński,mazowieckie
12634,Szkoła Podstawowa Nr 4, ul. Wyrobka 11,Dębica,39-200,m. Dębica,dębicki,podkarpackie
12635,Szkoła Podstawowa Nr 4, ul. Władysława Broniewskiego 6,Oława,55-200,m. Oława,oławski,dolnośląskie
12636,Szkoła Podstawowa Nr 4, ul. Władysława Jagiełły 8,Tczew,83-110,m. Tczew,tczewski,pomorskie
12637,Szkoła Podstawowa Nr 4, ul. Władysława Stanisława Reymonta 56,Namysłów,46-100,gm. Namysłów,namysłowski,opolskie
12638,Szkoła Podstawowa Nr 4, ul. Zaryte 78,Rabka-Zdrój,34-700,gm. Rabka-Zdrój,nowotarski,małopolskie
12639,Szkoła Podstawowa Nr 4, ul. Zielony Rynek 2,Grodzisk Mazowiecki,05-825,gm. Grodzisk Mazowiecki,grodziski,mazowieckie
12640,Szkoła Podstawowa Nr 4, ul. płk. Stanisława Wilimowskiego 8,Lubliniec,42-700,m. Lubliniec,lubliniecki,śląskie
12641,Szkoła Podstawowa Nr 4, ul. Średnia 30,Ozorków,95-035,m. Ozorków,zgierski,łódzkie
12642,Szkoła Podstawowa Nr 4, ul. Świętego Brata Alberta 35,Nowy Targ,34-400,m. Nowy Targ,nowotarski,małopolskie
12643,Szkoła Podstawowa Nr 4, ul. Świętojańska 11,Rumia,84-230,m. Rumia,wejherowski,pomorskie
12644,Szkoła Podstawowa Nr 4, ul. Żbikowska 25,Piastów,05-820,m. Piastów,pruszkowski,mazowieckie
12645,Szkoła Podstawowa Nr 4, ul. Żeromskiego 4,Jarosław,37-500,m. Jarosław,jarosławski,podkarpackie
12646,Szkoła Podstawowa Nr 4, ul. Żwirki i Wigury 49,Toruń,87-100,m. Toruń,Toruń,kujawsko-pomorskie
12647,Szkoła Podstawowa Nr 40 (Budynek A), ul. Joanny 13,Ruda Śląska,41-712,m. Ruda Śląska,Ruda Śląska,śląskie
12648,Szkoła Podstawowa Nr 40 z Oddziałami Integracyjnymi im. gen. Jerzego Ziętka w Tychach, ul. Alfonsa Zgrzebnioka 45,Tychy,43-100,m. Tychy,Tychy,śląskie
12649,Szkoła Podstawowa Nr 40, Gdańsk ul. Stroma 19,Gdańsk,80-012,m. Gdańsk,Gdańsk,pomorskie
12650,Szkoła Podstawowa Nr 40, ul. Pszczelna 13,Kraków,30-385,m. Kraków,Kraków,małopolskie
12651,Szkoła Podstawowa Nr 403, ul. Kacpra Karlińskiego 6,Warszawa,01-262,Wola,Warszawa,mazowieckie
12652,Szkoła Podstawowa Nr 41 w Zespole Szkolno-Przedszkolnym nr 15, ul. Kormoranów 23,Gliwice,44-122,m. Gliwice,Gliwice,śląskie
12653,Szkoła Podstawowa Nr 41 z Oddziałami Integracyjnymi, ul. Św. Św. Cyryla i Metodego 43,Szczecin,71-540,m. Szczecin,Szczecin,zachodniopomorskie
12654,Szkoła Podstawowa Nr 41 z Oddziałami Integracyjnymi, ul. Św. Św. Cyryla i Metodego 44,Szczecin,71-540,m. Szczecin,Szczecin,zachodniopomorskie
12655,Szkoła Podstawowa Nr 41, ul. Erazma Jerzmanowskiego 6,Kraków,30-836,m. Kraków,Kraków,małopolskie
12656,Szkoła Podstawowa Nr 41, ul. Jana Gierałtowskiego 15,Ruda Śląska,41-700,m. Ruda Śląska,Ruda Śląska,śląskie
12657,Szkoła Podstawowa Nr 42, ul. Chorzowska 28h,Bytom,41-902,m. Bytom,Bytom,śląskie
12658,Szkoła Podstawowa Nr 42, ul. Hoża 25,Szczecin,71-699,m. Szczecin,Szczecin,zachodniopomorskie
12659,Szkoła Podstawowa Nr 43, Gdańsk ul. Ludwika Beethovena 20,Gdańsk,80-171,m. Gdańsk,Gdańsk,pomorskie
12660,Szkoła Podstawowa Nr 43, ul. Buchenwaldczyków 25,Zabrze,41-800,m. Zabrze,Zabrze,śląskie
12661,Szkoła Podstawowa Nr 43, ul. Myślenicka 112,Kraków,30-698,m. Kraków,Kraków,małopolskie
12662,Szkoła Podstawowa Nr 43, ul. Stroma 16,Białystok,15-662,m. Białystok,Białystok,podlaskie
12663,Szkoła Podstawowa Nr 43, ul. Suchogórska 98,Bytom,41-936,m. Bytom,Bytom,śląskie
12664,Szkoła Podstawowa Nr 44, Gdańsk ul. Jagiellońska 24,Gdańsk,80-366,m. Gdańsk,Gdańsk,pomorskie
12665,Szkoła Podstawowa Nr 44, ul. Generała Grota-Roweckiego 6,Bytom,41-907,m. Bytom,Bytom,śląskie
12666,Szkoła Podstawowa Nr 44, ul. Rumiankowa 13,Białystok,15-665,m. Białystok,Białystok,podlaskie
12667,Szkoła Podstawowa Nr 45 z Oddziałami Dwujęzycznymi, ul. Czeladzka 58,Sosnowiec,41-214,m. Sosnowiec,Sosnowiec,śląskie
12668,Szkoła Podstawowa Nr 45 z Oddziałami Integracyjnymi, ul. Tadeusza Zawadzkiego 75,Szczecin,71-246,m. Szczecin,Szczecin,zachodniopomorskie
12669,Szkoła Podstawowa Nr 45, Gdańsk ul. Matki Polki 3A,Gdańsk,80-251,m. Gdańsk,Gdańsk,pomorskie
12670,Szkoła Podstawowa Nr 45, ul. Karpacka 27,Bytom,41-907,m. Bytom,Bytom,śląskie
12671,Szkoła Podstawowa Nr 45, ul. Zakątek 20,Bytom,41-907,m. Bytom,Bytom,śląskie
12672,Szkoła Podstawowa Nr 45, ul. Łagodna 10,Białystok,15-757,m. Białystok,Białystok,podlaskie
12673,Szkoła Podstawowa Nr 46 (dawny Zespół Szkół Ogólnokształcących Nr 7), ul. Gwiezdna 2,Sosnowiec,41-219,m. Sosnowiec,Sosnowiec,śląskie
12674,Szkoła Podstawowa Nr 46 im. Stefana Starzyńskiego, ul. Podbipięty 2,Warszawa,02-732,Mokotów,Warszawa,mazowieckie
12675,Szkoła Podstawowa Nr 46 im. Stefana Starzyńskiego, ul. Wałbrzyska 5,Warszawa,02-739,Mokotów,Warszawa,mazowieckie
12676,Szkoła Podstawowa Nr 46, Gdańsk ul. Arkońska 17,Gdańsk,80-387,m. Gdańsk,Gdańsk,pomorskie
12677,Szkoła Podstawowa Nr 46, ul. Bolesława Prusa 10,Bytom,41-902,m. Bytom,Bytom,śląskie
12678,Szkoła Podstawowa Nr 46, ul. Wacława Felczaka 13,Szczecin,71-417,m. Szczecin,Szczecin,zachodniopomorskie
12679,Szkoła Podstawowa Nr 47, Gdańsk ul. Reformacka 18,Gdańsk,80-808,m. Gdańsk,Gdańsk,pomorskie
12680,Szkoła Podstawowa Nr 47, ul. Palmowa 28,Białystok,15-795,m. Białystok,Białystok,podlaskie
12681,Szkoła Podstawowa Nr 47, ul. Tadeusza Kościuszki 4,Bytom,41-936,m. Bytom,Bytom,śląskie
12682,Szkoła Podstawowa Nr 48, Gdańsk ul. Zbigniewa Burzyńskiego 10,Gdańsk,80-462,m. Gdańsk,Gdańsk,pomorskie
12683,Szkoła Podstawowa Nr 48, ul. Czorsztyńska 35,Szczecin,71-201,m. Szczecin,Szczecin,zachodniopomorskie
12684,Szkoła Podstawowa Nr 48, ul. Księcia Józefa 337,Kraków,30-243,m. Kraków,Kraków,małopolskie
12685,Szkoła Podstawowa Nr 49, Gdańsk al. Aleja Legionów 11,Gdańsk,80-441,m. Gdańsk,Gdańsk,pomorskie
12686,Szkoła Podstawowa Nr 49, ul. Armii Krajowej 32,Białystok,15-661,m. Białystok,Białystok,podlaskie
12687,Szkoła Podstawowa Nr 49, ul. Józefa Montwiłła-Mireckiego 29,Kraków,30-426,m. Kraków,Kraków,małopolskie
12688,Szkoła Podstawowa Nr 5 Budynek im. Lotnictwa Polskiego, ul. Władysława Broniewskiego 5,Turek,62-700,m. Turek,turecki,wielkopolskie
12689,Szkoła Podstawowa Nr 5 im. Bolesława Chrobrego w Bogatyni, ul. Młodych Energetyków 24,Bogatynia,59-916,gm. Bogatynia,zgorzelecki,dolnośląskie
12690,Szkoła Podstawowa Nr 5 im. Henryka Sienkiewicza w Kutnie, ul. Łęczycka 11,Kutno,99-300,m. Kutno,kutnowski,łódzkie
12691,Szkoła Podstawowa Nr 5 im. Ignacego Jana Paderewskiego, ul. Jana Długosza 53,Pruszków,05-800,m. Pruszków,pruszkowski,mazowieckie
12692,Szkoła Podstawowa Nr 5 im. Józefa Wybickiego w Mińsku Mazowieckim, ul. Małopolska 11,Mińsk Mazowiecki,05-300,m. Mińsk Mazowiecki,miński,mazowieckie
12693,Szkoła Podstawowa Nr 5 im. Króla Jana III Sobieskiego, ul. Królewska 4,Zabrze,41-800,m. Zabrze,Zabrze,śląskie
12694,Szkoła Podstawowa Nr 5 im. Marii Skłodowskiej – Curie (budynek byłego Gimnazjum Nr 1), ul. Tadeusza Kościuszki 68,Zgorzelec,59-900,m. Zgorzelec,zgorzelecki,dolnośląskie
12695,Szkoła Podstawowa Nr 5 im. Marii Skłodowskiej – Curie, ul. Bolesława Prusa 17,Zgorzelec,59-900,m. Zgorzelec,zgorzelecki,dolnośląskie
