mysql> SELECT * FROM gmina;
+------+-----------------------------+
| id   | name                        |
|  348 | gm. Kikó?                   |
|  349 | gm. Micha?owice             |
|  350 | gm. Galewice                |
|  351 | gm. Dobiegniew              |
|  352 | gm. Piszczac                |
|  353 | gm. Komorniki               |
|  354 | gm. Kluczbork               |
|  355 | gm. Chodel                  |
|  356 | gm. Wo?niki                 |
|  357 | gm. Nowy Dwór Gda?ski       |
|  358 | gm. R?czno                  |
|  359 | gm. W?sewo                  |
|  360 | gm. Charsznica              |
|  361 | gm. Kadzid?o                |
|  362 | gm. Barg?ów Ko?cielny       |
|  363 | gm. Urszulin                |
|  364 | gm. Nowogródek Pomorski     |
|  365 | gm. Czaplinek               |
|  366 | gm. Radymno                 |
|  367 | gm. Komarówka Podlaska      |
|  368 | gm. Zadzim                  |
|  369 | gm. Kamie? Pomorski         |
|  370 | gm. Belsk Du?y              |
|  371 | gm. Me?giew                 |
|  372 | gm. Soko?ów Podlaski        |
|  373 | gm. Kra?niczyn              |
|  374 | gm. Przesmyki               |
|  375 | gm. Frysztak                |
|  376 | gm. Stanin                  |
|  377 | gm. Ci??kowice              |
|  378 | gm. Olesno                  |
|  379 | gm. Lipinki                 |
|  380 | gm. Ochotnica Dolna         |
|  381 | gm. Wielka Wie?             |
|  382 | gm. Tuchów                  |
|  383 | gm. Jerzmanowice-Przeginia  |
|  384 | gm. Nowe Brzesko            |
|  385 | gm. Z?bkowice ?l?skie       |
|  386 | gm. Ciasna                  |
|  387 | gm. Tworóg                  |
|  388 | gm. Walce                   |
|  389 | gm. Rejowiec Fabryczny      |
|  390 | m. Kwidzyn                  |
|  391 | gm. Niemce                  |
|  392 | m. Ostro??ka                |
|  393 | gm. Postomino               |
|  394 | gm. Brzozów                 |
|  395 | m. Gniezno                  |
|  396 | gm. Korsze                  |
|  397 | gm. Krzepice                |
|  398 | m. ?wiebodzice              |
|  399 | gm. Rusiec                  |
|  400 | gm. Tuszyn                  |
|  401 | m. Starachowice             |
|  402 | gm. Grabica                 |
|  403 | gm. Wi?lica                 |
|  404 | gm. Lipsko                  |
|  405 | gm. G?bin                   |
|  406 | gm. Skomlin                 |
|  407 | gm. Garbatka-Letnisko       |
|  408 | gm. Sobolew                 |
|  409 | gm. Kazimierza Wielka       |
|  410 | gm. S?dziszów Ma?opolski    |
|  411 | gm. Zamo??                  |
|  412 | m. Por?ba                   |
|  413 | gm. Ulanów                  |
|  414 | gm. Grzegorzew              |
|  415 | gm. Kiernozia               |
|  416 | gm. Ciechanowiec            |
|  417 | gm. Nowogrodziec            |
|  418 | gm. Ciel?dz                 |
|  419 | gm. Krzynow?oga Ma?a        |
|  420 | gm. Bolimów                 |
|  421 | gm. Kolbuszowa              |
|  422 | gm. Psary                   |
|  423 | gm. Kury?ówka               |
|  424 | gm. Smyków                  |
|  425 | gm. Pierzchnica             |
|  426 | gm. Dru?bice                |
|  427 | gm. Wolbrom                 |
|  428 | gm. Mierz?cice              |
|  429 | gm. Boguchwa?a              |
|  430 | gm. Adamów                  |
|  431 | gm. Nowy Targ               |
|  432 | gm. Chojna                  |
|  433 | gm. Ma?kinia Górna          |
|  434 | gm. Jod?ownik               |
|  435 | gm. Krasnosielc             |
|  436 | gm. L?dek-Zdrój             |
|  437 | gm. Dobrodzie?              |
|  438 | gm. Budzy?                  |
|  439 | gm. Le?na                   |
|  440 | gm. Korzenna                |
|  441 | m. Zawiercie                |
|  442 | gm. Mi?dzyrzec Podlaski     |
|  443 | gm. Igo?omia-Wawrze?czyce   |
|  444 | gm. Lidzbark Warmi?ski      |
|  445 | gm. Kazimierz Dolny         |
|  446 | gm. Czarna Woda             |
|  447 | gm. S?o?sk                  |
|  448 | gm. Pysznica                |
|  449 | gm. Otmuchów                |
|  450 | gm. St?szew                 |
|  451 | gm. Brzesko                 |
|  452 | gm. Sianów                  |
|  453 | gm. Stary Dzierzgo?         |
|  454 | gm. Ha?lach                 |
|  455 | gm. ?ó?kiewka               |
|  456 | gm. Szypliszki              |
|  457 | gm. Somianka                |
|  458 | gm. Szelków                 |
|  459 | gm. Koz?ów                  |
|  460 | gm. Puszcza Maria?ska       |
|  461 | gm. ?rem                    |
|  462 | gm. Z?bowice                |
|  463 | gm. Niemcza                 |
|  464 | gm. Bychawa                 |
|  465 | gm. D?browa Tarnowska       |
|  466 | gm. Trzebinia               |
|  467 | gm. Kolbudy                 |
|  468 | gm. E?k                     |
|  469 | gm. Inowroc?aw              |
|  470 | gm. Lesznowola              |
|  471 | gm. Pcim                    |
|  472 | gm. ?yrzyn                  |
|  473 | gm. Kotla                   |
|  474 | gm. ??kawica                |
|  475 | gm. Rajcza                  |
|  476 | gm. Serokomla               |
|  477 | gm. Lniano                  |
|  478 | gm. Grabów nad Prosn?       |
|  479 | gm. Mstów                   |
|  480 | gm. Czerwonak               |
|  481 | gm. Ozorków                 |
|  482 | gm. Kro?niewice             |
|  483 | gm. Halinów                 |
|  484 | gm. Miastków Ko?cielny      |
|  485 | gm. Resko                   |
|  486 | gm. Grodków                 |
|  487 | gm. Sidra                   |
|  488 | gm. Ruda Maleniecka         |
|  489 | gm. W?gorzyno               |
|  490 | gm. Jedlnia-Letnisko        |
|  491 | gm. Górzno                  |
|  492 | gm. Policzna                |
|  493 | gm. Bielsk                  |
|  494 | gm. Kunów                   |
|  495 | gm. ?apy                    |
|  496 | gm. Brudze? Du?y            |
|  497 | gm. Dzia?dowo               |
|  498 | gm. Horod?o                 |
|  499 | gm. Nowy Duninów            |
|  500 | gm. Trzyci??                |
|  501 | gm. Oksa                    |
|  502 | gm. Boniewo                 |
|  503 | gm. Drohiczyn               |
|  504 | gm. Nag?owice               |
|  505 | gm. Siedliszcze             |
|  506 | gm. Che?miec                |
|  507 | gm. Myszyniec               |
|  508 | gm. Zabrodzie               |
|  509 | gm. Wilcz?ta                |
|  510 | gm. Pieni??no               |
|  511 | gm. Kalinowo                |
|  512 | gm. Nowe Miasto             |
|  513 | gm. Parczew                 |
|  514 | gm. K?odawa                 |
|  515 | gm. Fajs?awice              |
|  516 | gm. Wieniawa                |
|  517 | gm. Niemodlin               |
|  518 | m. Szklarska Por?ba         |
|  519 | gm. Drobin                  |
|  520 | gm. Baranowo                |
|  521 | gm. Barczewo                |
|  522 | gm. Krasocin                |
|  523 | gm. Mi?om?yn                |
|  524 | gm. Zatory                  |
|  525 | gm. Szczurowa               |
|  526 | gm. Aleksandrów             |
|  527 | gm. W?adys?awów             |
|  528 | gm. Krasne                  |
|  529 | gm. M?odzieszyn             |
|  530 | gm. Korczew                 |
